accuracy	time_pred	time_learn	time_learn2	time_learn4	alpha	acc_mcmc_this	acc_mcmc_all	acc_mcmc_all_but5	ll_mcmc_this	ll_mcmc_all	ll_mcmc_all_but5	wmu[0]	wlambda[0]	vmu[0,0]	vlambda[0,0]	vmu[0,1]	vlambda[0,1]	vmu[0,2]	vlambda[0,2]	vmu[0,3]	vlambda[0,3]	vmu[0,4]	vlambda[0,4]	vmu[0,5]	vlambda[0,5]	vmu[0,6]	vlambda[0,6]	vmu[0,7]	vlambda[0,7]
0.830437	nan	0.016	0.016812	0	0.97152	0.830437	0.830437	0.759465	0.42021	0.42021	8.30778	-0.000367177	132.762	0.00341586	156.895	0.00425776	113.779	0.0029238	148.811	-0.000975226	125.48	0.000762201	140.08	-0.00404258	126.834	2.87682e-05	117.076	0.00355822	118.255
0.831794	nan	0.02	0.017361	0	1.02595	0.828175	0.831794	0.759465	0.395312	0.403341	8.30778	-0.0100968	37.9575	0.00439227	89.121	-0.0127172	70.4411	0.0112739	68.1571	-0.00265322	48.6204	0.0194356	81.4638	-0.00862696	72.4359	-0.0333776	69.7836	0.00311293	64.7821
0.83735	nan	0.016	0.016983	0	1.01733	0.833603	0.83735	0.759465	0.375815	0.389594	8.30778	-0.0237132	30.3335	0.0128986	59.3783	-0.00778068	55.2313	0.0200722	41.2512	-0.0181367	45.3297	0.00277535	51.1565	-0.0316136	52.8122	-0.0237499	48.2687	0.00578473	45.1361
0.838319	nan	0.016	0.016776	0	1.06082	0.832956	0.838319	0.759465	0.36849	0.378693	8.30778	-0.00544111	23.6395	0.00296224	39.5103	0.00135168	44.808	0.0274098	31.8267	0.0032133	35.1634	0.0174188	36.7355	-0.0517761	22.8548	-0.00584755	35.2155	-0.0205914	53.3635
0.839062	nan	0.016	0.016629	0	1.06704	0.828757	0.839062	0	0.367797	0.371414	-nan	0.00306863	17.7264	-0.0230339	31.3615	0.00841088	35.9512	0.0173931	32.2502	0.0300121	40.1731	0.0280832	42.1533	-0.00453873	25.6527	0.0357823	27.431	0.0159162	27.691
0.840354	nan	0.016	0.016907	0	0.979688	0.829984	0.840354	0.829984	0.371132	0.3657	0.371132	0.00340387	19.4041	0.0115022	24.4658	0.00512757	27.2974	-0.00267539	27.9554	-0.0270272	23.0806	0.032862	39.8176	-0.0193367	34.3675	0.0568134	33.3752	-0.0109865	17.792
0.840871	nan	0.016	0.016646	0	1.00513	0.831503	0.840871	0.83441	0.371037	0.361778	0.360435	0.0181145	15.3768	0.0153413	18.8986	-0.0174182	35.7773	-0.00393771	23.0378	-0.0255031	26.7294	0.0162108	34.4229	-0.000885809	33.0871	0.030532	28.4919	0.0218495	20.9419
0.841065	nan	0.016	0.016701	0	1.04409	0.830404	0.841065	0.835638	0.373554	0.35898	0.356804	0.00242654	13.1966	0.0211977	20.5648	0.00710766	25.4253	0.000678033	20.9291	-0.0263723	25.3654	-0.00674346	26.7508	-0.0133445	28.3164	0.015555	31.2102	-0.0245146	19.1536
0.840839	nan	0.016	0.016672	0	1.02378	0.826205	0.840839	0.83693	0.377452	0.357018	0.354245	0.00875809	10.9432	0.0526635	16.1065	0.0229184	19.7209	-0.00183753	16.4412	-0.00167379	23.9838	0.0541055	23.7153	0.0225904	24.5786	0.0171565	28.1757	0.014242	18.6554
0.841614	nan	0.016	0.016628	0	1.00087	0.826883	0.841614	0.836574	0.380708	0.355257	0.352889	-0.0342639	14.3119	0.00829384	14.1379	0.0259708	23.461	-0.00923508	19.4924	0.00990286	29.3786	0.0273943	21.9785	0.0148748	21.0153	0.0240818	19.7438	0.0140426	26.2318
0.841323	nan	0.016	0.016654	0	0.929351	0.823524	0.841323	0.837253	0.387695	0.35401	0.352236	-0.0221351	12.9438	0.0356696	13.0722	0.0379391	19.666	0.0339707	18.9212	-0.00387989	27.7186	0.0285571	21.4324	0.0227474	15.8262	0.00963457	19.6964	0.0180925	21.7172
0.840968	nan	0.016	0.016638	0	1.06884	0.825947	0.840968	0.837124	0.385842	0.352811	0.351232	0.00927836	10.9432	-0.0360258	18.2316	0.0764411	21.9038	0.0163243	13.217	-0.00398832	27.9696	0.0440749	18.6262	0.0603375	16.9924	-0.0275543	13.4113	0.00733042	20.9202
0.841388	nan	0.02	0.016602	1	1.0158	0.82375	0.841388	0.83848	0.384879	0.351578	0.349915	0.011068	9.4895	-0.0335503	14.1853	0.0601288	23.9061	-0.0230389	15.8914	0.00710361	24.6236	0.0360994	18.3512	0.0601086	16.6747	-0.0244203	15.1402	-0.0569184	18.9272
0.841517	nan	0.016	0.016613	0	0.998423	0.827142	0.841517	0.838416	0.388354	0.350422	0.348837	-0.0223646	8.39469	-0.0337893	16.3013	0.0942624	26.76	0.0123656	17.484	0.00608298	23.8427	0.0353759	20.0577	-0.00149198	13.7436	0.00396959	15.7166	-0.04105	14.2011
0.841937	nan	0.016	0.016747	0	0.977077	0.829048	0.841937	0.839223	0.393799	0.349539	0.348322	0.0109716	7.04445	-0.02591	16.92	0.046292	18.4043	-0.00840597	17.5185	0.0287879	25.9185	0.0207485	17.6505	0.0255662	10.909	0.0338171	23.1133	-0.0369909	16.4865
0.842518	nan	0.02	0.016851	0	0.968985	0.824816	0.842518	0.839546	0.401434	0.349018	0.348193	0.056065	7.56696	-0.0831796	14.6679	0.0120017	18.1242	-0.0237491	18.5968	0.0213616	26.6507	0.0339184	19.7775	0.0348621	12.8141	0.0504184	19.475	-0.0518142	17.5498
0.842131	nan	0.016	0.016858	0	0.973864	0.821424	0.842131	0.839676	0.40412	0.348649	0.348167	-0.01291	5.67438	-0.0604437	17.5607	0.0208844	12.6995	-0.054136	18.0853	0.0491646	29.6412	0.00459162	17.1289	0.0531683	10.2164	0.0211805	20.6067	-0.0587721	16.1317
0.842357	nan	0.016	0.016955	0	1.03376	0.822716	0.842357	0.840645	0.397018	0.348367	0.348017	0.021657	8.33619	-0.0349793	17.257	0.0052239	14.1291	-0.0348685	15.5374	0.0498237	22.2565	-0.00318404	16.9643	0.0654543	12.1752	-0.00422805	17.1655	-0.0599546	14.7442
